date_scraped,source,title,url
2026-07-12 18:59:18,hackernews,AI boosts research careers but narrow the span of ideas explored: study(ieee.org),https://spectrum.ieee.org/ai-science-research-flattens-discovery
2026-07-12 18:59:18,hackernews,Mesh LLM: distributed AI computing on iroh(iroh.computer),https://www.iroh.computer/blog/mesh-llm
2026-07-13 11:57:45,hackernews,Ask HN: Does anyone let AI agents play games just for fun?,https://news.ycombinator.com/item?id=48848741
2026-07-13 11:57:45,hackernews,Ask HN: Add flag for AI-generated articles,https://news.ycombinator.com/item?id=48886741
2026-07-13 11:57:45,hackernews,"Migrating a production AI agent to GPT-5.6: 2.2x faster, 27% cheaper(ploy.ai)",https://ploy.ai/blog/migrating-a-production-ai-agent-to-gpt-5-6
2026-07-13 19:18:45,hackernews,"Show HN: BillAI Bass, an AI-Powered Big Mouth Billy Bass Using Strands Agents(github.com/morganwilliscloud)",https://github.com/morganwilliscloud/billai-bass
2026-07-14 19:12:25,hackernews,Bonsai 27B (1-bit LLM): The First 27B-Class Model to Run on a Phone(prismml.com),https://prismml.com/news/bonsai-27b
2026-07-14 19:12:25,hackernews,Launch HN: Agnost AI (YC S26) – Extract user feedback from agent conversations(agnost.ai),https://agnost.ai
2026-07-14 19:12:25,hackernews,Are we offloading too much of our thinking to AI?(artfish.ai),https://www.artfish.ai/p/offloading-thinking-to-ai
2026-07-15 12:40:23,hackernews,"Show HN: For 10 World Cups, my model's 2 favorites had the champion every time(ssrn.com)",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7013338
2026-07-15 12:40:23,hackernews,Jiga (YC W21) is hiring the best people to make manufacturing great again(jiga.io),https://jiga.io/about-us/
2026-07-15 12:40:23,hackernews,A Trip to 90s Kansai: Exploring the XD FirstClass Network BBS(cdrom.ca),https://cdrom.ca/games/2026/05/30/xd.html
2026-07-15 12:40:23,hackernews,The Tower Keeps Rising(pocoo.org),https://lucumr.pocoo.org/2026/7/13/the-tower-keeps-rising/
2026-07-15 12:40:23,hackernews,Cursor 0day: When Full Disclosure Becomes the Only Protection Left(mindgard.ai),https://mindgard.ai/blog/cursor-0day-when-full-disclosure-becomes-the-only-protection-left
2026-07-15 12:40:23,hackernews,RISC-V Is Inevitable: State of the Union Keynote Argues(eetimes.com),https://www.eetimes.com/risc-v-is-inevitable-state-of-the-union-keynote-argues/
2026-07-15 12:40:23,hackernews,Show HN: Web App Uses RTL-SDR to Align HDTV Antenna(tunerscope.com),https://tunerscope.com/
2026-07-15 12:40:23,hackernews,The kids with phones are alright(heatherburns.tech),https://heatherburns.tech/2026/07/08/the-kids-with-phones-are-alright/
2026-07-15 19:04:46,hackernews,Running Gemma 4 26B at 5 tokens/sec on a 13-year-old Xeon with no GPU(neomindlabs.com),https://www.neomindlabs.com/2026/06/08/running-gemma-4-26b-at-5-tokens-sec-on-a-13-year-old-xeon-with-no-gpu/
2026-07-15 19:04:46,hackernews,"Stripe, Advent offer to buy PayPal for more than $53B(reuters.com)",https://www.reuters.com/business/finance/stripe-advent-offer-buy-paypal-more-than-53-billion-sources-say-2026-07-15/
2026-07-15 19:04:46,hackernews,Show HN: misa77 - a codec that decodes 2x faster than LZ4 (at better ratios)(github.com/welcome-to-the-sunny-side),https://github.com/welcome-to-the-sunny-side/misa77
2026-07-15 19:04:46,hackernews,Launch HN: Coasty (YC S26) – An API for computer-use agents(coasty.ai),https://coasty.ai/docs
2026-07-15 19:04:46,hackernews,Towards a Harness That Can Do Anything(eardatasci.github.io),https://eardatasci.github.io/c/ambiance/index.html
2026-07-15 19:04:46,hackernews,Sleep regularity is a stronger predictor of mortality risk than sleep duration (2023)(oup.com),https://academic.oup.com/sleep/article/47/1/zsad253/7280269
2026-07-15 19:04:46,hackernews,When A.I. Is a Member of the Family(newyorker.com),https://www.newyorker.com/magazine/2026/07/20/when-ai-is-a-member-of-the-family
2026-07-15 19:04:46,hackernews,The Memory Heist(ayush.digital),https://www.ayush.digital/blog/the-memory-heist
2026-07-15 19:04:46,hackernews,A General Goal-Conditioned Minecraft Model(pantograph.com),https://pantograph.com/journal/pan-1
2026-07-15 19:04:46,hackernews,The Three-Second Theft: Why AI Voice Fraud Outruns Every Defence(smarterarticles.co.uk),https://smarterarticles.co.uk/the-three-second-theft-why-ai-voice-fraud-outruns-every-defence
2026-07-15 19:04:46,hackernews,The well-calibrated Bayesian [pdf] (1982)(fitelson.org),https://fitelson.org/seminar/dawid.pdf
2026-07-15 19:04:46,hackernews,The Conservationist Who Turned 40 Terabytes of Public Data into a Video Game(exe.dev),https://blog.exe.dev/meet-the-conservationist-who-turned-40-terabytes-of-government-data-into-a-video-game
